GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	Astrocytes_ceoff	Astrocytes_ELBO_gain	Astrocytes_pval	Astrocytes_FDR	Cajal Retzius_ceoff	Cajal Retzius_ELBO_gain	Cajal Retzius_pval	Cajal Retzius_FDR	Cck-Tox_ceoff	Cck-Tox_ELBO_gain	Cck-Tox_pval	Cck-Tox_FDR	Endothelial_ceoff	Endothelial_ELBO_gain	Endothelial_pval	Endothelial_FDR	GABA_ceoff	GABA_ELBO_gain	GABA_pval	GABA_FDR	Granule immature_ceoff	Granule immature_ELBO_gain	Granule immature_pval	Granule immature_FDR	Granule mature_ceoff	Granule mature_ELBO_gain	Granule mature_pval	Granule mature_FDR	Microglia_ceoff	Microglia_ELBO_gain	Microglia_pval	Microglia_FDR	Mossy_ceoff	Mossy_ELBO_gain	Mossy_pval	Mossy_FDR	Neuroblast_ceoff	Neuroblast_ELBO_gain	Neuroblast_pval	Neuroblast_FDR	OL_ceoff	OL_ELBO_gain	OL_pval	OL_FDR	OPC_ceoff	OPC_ELBO_gain	OPC_pval	OPC_FDR	Radial Glia-like_ceoff	Radial Glia-like_ELBO_gain	Radial Glia-like_pval	Radial Glia-like_FDR	nIPC_ceoff	nIPC_ELBO_gain	nIPC_pval	nIPC_FDR
Tcea1	515	515	9.693e-02	6.988e-01	1.008e-01	-1.465e+00	7.699e+00	8.705e-05	5.954e-03	1.434e+00	5.173e-02	7.477e-01	9.950e-01	1.258e-01	3.867e-01	3.791e-01	8.836e-01	-5.680e-01	2.617e-01	4.694e-01	7.178e-01	-4.958e-01	7.761e-01	2.128e-01	6.140e-01	-5.036e-01	2.666e-01	4.652e-01	7.374e-01	-1.867e-01	7.961e+00	6.598e-05	2.315e-03	-8.027e-01	1.852e-01	5.428e-01	8.873e-01	4.890e-01	9.563e-01	1.667e-01	5.644e-01	7.137e-01	2.793e-01	4.549e-01	6.510e-01	2.035e-01	6.088e-02	7.271e-01	1.000e+00	-2.008e-01	2.508e-01	4.788e-01	8.308e-01	8.194e-01	5.285e+00	1.149e-03	1.965e-01	1.870e+00	3.524e+00	7.937e-03	8.743e-01
Atp6v1h	506	506	1.171e-01	-2.462e-01	1.001e+00	1.630e+01	1.638e-01	5.671e-01	8.567e-01	9.214e-01	3.828e-02	7.820e-01	1.000e+00	3.924e-01	-2.318e-02	1.000e+00	1.000e+00	3.298e-01	1.055e+00	1.463e-01	5.113e-01	1.185e+00	3.307e-01	4.161e-01	7.189e-01	9.664e-01	2.937e+00	1.537e-02	1.812e-01	-7.732e-01	5.428e-01	2.974e-01	5.499e-01	-2.459e-01	4.912e-01	3.216e-01	7.760e-01	9.687e-01	-4.376e-02	1.000e+00	1.000e+00	4.683e-01	2.929e+00	1.551e-02	1.061e-01	8.990e-01	6.464e-02	7.192e-01	1.000e+00	1.599e-01	3.353e-01	4.128e-01	7.922e-01	-2.438e-01	1.151e-01	6.314e-01	9.906e-01	-8.754e-01	-1.103e-02	1.000e+00	1.000e+00
Rb1cc1	1018	1018	2.174e-01	1.137e+00	1.028e+00	2.434e+00	3.949e-02	7.787e-01	9.872e-01	-1.389e-01	1.856e+00	5.404e-02	7.376e-01	3.943e+00	-3.162e-02	1.000e+00	1.000e+00	-1.359e-01	-2.988e-01	1.000e+00	1.000e+00	7.378e-01	1.227e-01	6.204e-01	8.664e-01	1.680e-01	2.726e-01	4.602e-01	7.374e-01	6.086e-02	-2.046e-01	1.000e+00	1.000e+00	-5.888e-02	7.210e-01	2.298e-01	7.593e-01	4.043e+00	2.776e+00	1.846e-02	2.495e-01	-1.049e+00	-2.080e-01	1.000e+00	1.000e+00	1.080e-01	-3.861e-01	1.000e+00	1.000e+00	-5.291e-01	2.267e-01	5.007e-01	8.354e-01	3.312e-01	7.387e-01	2.242e-01	8.334e-01	1.359e-01	-2.556e-01	1.000e+00	1.000e+00
Pcmtd1	664	664	9.317e-02	-1.113e+00	5.909e-01	7.667e+00	1.360e+00	9.915e-02	5.297e-01	-5.434e-01	1.130e+00	1.327e-01	8.141e-01	-4.388e+00	3.556e-01	3.991e-01	8.862e-01	-2.708e-01	3.045e+00	1.359e-02	2.018e-01	1.762e+00	8.183e-01	2.008e-01	6.140e-01	-3.594e-01	8.348e-01	1.963e-01	5.621e-01	-1.143e-01	2.208e+00	3.562e-02	1.890e-01	-3.883e-01	6.289e-01	2.621e-01	7.593e-01	6.391e-01	6.481e-01	2.549e-01	6.411e-01	-4.064e-01	8.806e+00	2.710e-05	1.545e-03	1.180e+00	7.615e-01	2.172e-01	7.439e-01	4.681e-01	1.528e-01	5.804e-01	8.830e-01	3.302e-02	8.119e-01	2.026e-01	8.334e-01	1.634e-01	1.586e+00	7.493e-02	8.743e-01
Cspp1	435	435	6.962e-02	3.614e-01	7.325e-01	-2.899e+00	6.360e-02	7.214e-01	9.617e-01	2.184e-01	-7.047e-01	1.000e+00	1.000e+00	7.218e-01	-2.597e-01	1.000e+00	1.000e+00	-8.165e-01	8.894e-01	1.823e-01	5.152e-01	1.598e+00	-2.083e-01	1.000e+00	1.000e+00	-1.093e-01	-2.922e-01	1.000e+00	1.000e+00	-1.549e-01	5.578e-01	2.909e-01	5.476e-01	-2.965e-01	-5.981e-01	1.000e+00	1.000e+00	5.861e-01	5.450e-02	7.413e-01	8.864e-01	-1.431e-01	2.037e+00	4.353e-02	1.787e-01	6.102e-01	1.035e+00	1.503e-01	7.344e-01	4.710e+00	6.913e-01	2.397e-01	7.243e-01	-4.705e+00	-3.919e-01	1.000e+00	1.000e+00	-2.521e-01	-4.808e-01	1.000e+00	1.000e+00
Prex2	581	581	4.334e-02	-8.672e-01	5.897e-01	-2.923e+00	8.761e+00	2.841e-05	2.875e-03	1.134e+00	-1.776e-01	1.000e+00	1.000e+00	3.893e-01	1.715e-01	5.581e-01	9.640e-01	9.423e-01	1.677e+00	6.704e-02	3.943e-01	6.658e-01	1.728e+00	6.304e-02	5.528e-01	2.112e+00	2.133e+00	3.886e-02	3.021e-01	-4.544e-01	8.644e+00	3.211e-05	1.373e-03	-1.034e+00	3.809e-02	7.826e-01	1.000e+00	9.768e-01	1.596e+00	7.399e-02	4.132e-01	-3.736e+00	3.513e-01	4.019e-01	6.111e-01	-1.050e-01	3.351e-01	4.130e-01	8.420e-01	1.051e+00	1.253e+00	1.134e-01	7.051e-01	5.586e+00	2.520e+00	2.478e-02	6.438e-01	8.302e-01	3.265e-01	4.190e-01	9.491e-01
A830018L16Rik	928	928	8.225e-02	-7.695e-01	3.821e-01	-7.074e-01	4.000e-01	3.711e-01	7.217e-01	7.318e-01	8.130e-01	2.023e-01	8.572e-01	-3.173e+00	3.681e-01	3.909e-01	8.836e-01	-3.052e-01	8.057e-01	2.043e-01	5.416e-01	9.270e-01	2.145e+00	3.832e-02	5.041e-01	-7.699e-01	4.031e-01	3.692e-01	6.974e-01	-9.355e-02	2.380e-01	4.902e-01	6.843e-01	5.461e-02	3.771e-01	3.851e-01	8.181e-01	6.217e-01	5.373e-01	2.999e-01	6.492e-01	-4.091e-01	3.238e+00	1.094e-02	8.780e-02	6.251e-01	1.347e-01	6.037e-01	9.515e-01	3.762e-01	3.901e-01	3.771e-01	7.768e-01	9.391e-01	6.222e-01	2.646e-01	8.437e-01	-3.012e+00	8.631e-01	1.889e-01	8.743e-01
Gdap1	550	550	1.218e-01	9.310e-02	1.159e+00	1.208e+01	1.330e+00	1.029e-01	5.297e-01	3.995e+00	1.454e+00	8.809e-02	8.141e-01	4.394e+00	1.392e+00	9.523e-02	8.590e-01	-1.713e+00	2.389e+00	2.883e-02	3.052e-01	-7.430e+00	8.167e-01	2.012e-01	6.140e-01	4.786e-01	4.583e-01	3.383e-01	6.767e-01	-2.063e-01	4.923e-01	3.211e-01	5.602e-01	-3.135e-01	-4.153e-01	1.000e+00	1.000e+00	-1.066e+00	7.523e-02	6.981e-01	8.592e-01	-4.747e-01	3.602e+00	7.276e-03	7.221e-02	1.128e+00	3.337e-01	4.140e-01	8.420e-01	-1.136e+00	6.410e-01	2.575e-01	7.385e-01	4.176e+00	3.639e-01	3.936e-01	9.019e-01	-9.519e-01	5.488e-01	2.948e-01	8.886e-01
Paqr8	231	231	3.413e-02	-1.029e+00	1.044e+00	9.042e+00	1.170e+00	1.262e-01	5.394e-01	5.060e-01	2.744e-01	4.588e-01	8.888e-01	7.831e-02	2.818e-01	4.528e-01	9.156e-01	9.934e-01	7.920e-01	2.082e-01	5.435e-01	-4.895e+00	1.487e-01	5.855e-01	8.414e-01	-3.966e-01	4.416e-01	3.473e-01	6.788e-01	2.618e-01	8.424e-01	1.943e-01	4.695e-01	-6.213e-01	4.431e-01	3.465e-01	7.849e-01	-4.357e+00	6.352e-01	2.597e-01	6.411e-01	-4.308e-01	2.791e-01	4.550e-01	6.510e-01	7.407e-01	-1.397e-01	1.000e+00	1.000e+00	2.620e-02	6.295e-01	2.619e-01	7.385e-01	4.995e+00	9.783e-01	1.619e-01	7.909e-01	-1.742e+00	-2.724e-01	1.000e+00	1.000e+00
Khdrbs2	392	392	4.232e-02	-7.014e-01	5.518e-01	-4.271e-01	-2.097e-01	1.000e+00	1.000e+00	-3.480e+00	-2.303e-01	1.000e+00	1.000e+00	-1.269e-02	6.031e-01	2.721e-01	8.590e-01	-8.926e-01	-7.860e-02	1.000e+00	1.000e+00	-3.539e+00	5.616e-01	2.892e-01	6.738e-01	7.094e-01	-3.423e-01	1.000e+00	1.000e+00	-1.801e-01	1.568e-01	5.754e-01	7.205e-01	2.573e-01	-2.733e-01	1.000e+00	1.000e+00	8.607e-01	3.822e+00	5.694e-03	1.298e-01	-4.511e+00	5.867e-01	2.787e-01	5.180e-01	3.137e-01	-3.525e-01	1.000e+00	1.000e+00	4.247e-01	-2.937e-01	1.000e+00	1.000e+00	1.524e-01	7.933e-02	6.904e-01	1.000e+00	-3.796e+00	-2.042e-01	1.000e+00	1.000e+00
