GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	isEAE_ceoff	isEAE_ELBO_gain	isEAE_pval	isEAE_FDR
ENSMUSG00000029128	26035	2735	3.084e-01	-1.436e+00	6.903e+00	-2.281e+00	5.916e+00	5.822e-04	5.356e-03
ENSMUSG00000025702	9144	5701	3.655e-01	5.422e+00	2.176e+00	8.846e-01	1.509e+00	8.237e-02	2.274e-01
ENSMUSG00000052934	1327	387	1.336e-01	-4.719e+00	5.001e+00	1.168e+00	-9.833e-02	1.000e+00	1.000e+00
ENSMUSG00000033419	16054	448	1.567e-01	-1.406e+00	4.690e+00	-1.259e+00	2.418e+00	2.786e-02	1.068e-01
ENSMUSG00000021952	1656	323	1.024e-01	-2.393e+00	5.692e+00	-2.269e+00	2.179e+00	3.685e-02	1.211e-01
ENSMUSG00000071337	1879	577	1.404e-01	1.030e+00	5.238e+00	-7.446e-01	9.413e-01	1.700e-01	3.555e-01
ENSMUSG00000000568	8961	4242	2.568e-01	5.550e-01	5.802e+00	2.004e+00	6.680e+00	2.571e-04	3.217e-03
ENSMUSG00000106864	5836	650	2.079e-01	-5.112e-01	3.541e+00	-5.974e-01	2.463e-01	4.827e-01	6.877e-01
ENSMUSG00000050891	3054	1554	1.291e-01	2.547e+00	4.884e+00	1.013e+00	1.191e+00	1.228e-01	2.973e-01
ENSMUSG00000033400	1654	195	6.703e-02	-5.172e+00	4.904e+00	-7.223e-01	4.373e-01	3.497e-01	5.751e-01
ENSMUSG00000028293	7828	1773	1.472e-01	6.537e+00	2.156e+00	7.389e-03	2.275e-01	4.999e-01	6.877e-01
ENSMUSG00000039219	2559	201	1.046e-01	-6.440e+00	3.295e+00	7.934e-02	2.057e-02	8.393e-01	1.000e+00
ENSMUSG00000039178	3979	1843	2.024e-01	4.592e-01	6.143e+00	-2.606e+00	7.828e+00	7.596e-05	1.747e-03
ENSMUSG00000029470	16058	4675	2.794e-01	5.545e+00	2.293e+00	4.720e-01	-2.832e-02	1.000e+00	1.000e+00
ENSMUSG00000006418	6453	2176	2.613e-01	5.760e+00	1.968e+00	-5.488e-01	5.742e-01	2.839e-01	5.022e-01
ENSMUSG00000016181	380	179	2.355e-02	3.245e+00	2.240e+00	-8.260e-01	3.965e-01	3.732e-01	5.872e-01
ENSMUSG00000027012	10138	2253	4.167e-01	-7.843e+00	1.974e+00	-1.111e+00	1.289e+00	1.083e-01	2.769e-01
ENSMUSG00000004626	4695	1777	2.400e-01	3.131e+00	4.399e-01	1.208e+00	1.492e+00	8.405e-02	2.274e-01
ENSMUSG00000032777	838	346	5.525e-02	4.750e+00	5.346e-01	2.565e-01	1.691e-02	8.541e-01	1.000e+00
ENSMUSG00000035674	47519	11765	8.111e-01	-8.475e+00	3.141e+00	8.694e-01	4.588e+00	2.452e-03	1.410e-02
ENSMUSG00000096795	784	102	5.933e-02	-3.823e+00	4.367e+00	-1.901e+00	1.079e+00	1.418e-01	3.261e-01
ENSMUSG00000024095	4687	1258	2.323e-01	-5.528e+00	4.980e+00	2.176e+00	5.652e+00	7.733e-04	5.929e-03
ENSMUSG00000035189	7314	1890	2.391e-01	2.597e+00	4.017e+00	1.882e-01	2.993e-01	4.391e-01	6.516e-01
ENSMUSG00000015766	1150	176	5.525e-02	-5.434e+00	3.583e-01	4.722e-01	1.832e-01	5.449e-01	6.963e-01
ENSMUSG00000022607	12490	5080	3.093e-01	5.713e+00	2.015e+00	2.967e-01	-8.203e-02	1.000e+00	1.000e+00
ENSMUSG00000048000	2269	573	9.964e-02	-1.233e+00	5.042e+00	3.445e+00	2.516e+00	2.489e-02	1.041e-01
ENSMUSG00000045962	10144	7662	2.129e-01	-1.369e+00	7.831e+00	-1.279e+00	3.806e-01	3.829e-01	5.872e-01
ENSMUSG00000034210	24184	15041	3.650e-01	6.642e+00	2.521e+00	-9.530e-02	-2.246e-02	1.000e+00	1.000e+00
ENSMUSG00000048368	1899	556	1.911e-01	7.287e+00	3.276e+00	-3.438e+00	8.962e+00	2.298e-05	1.057e-03
ENSMUSG00000027637	28363	8858	4.955e-01	6.277e+00	1.218e+00	-5.359e-01	2.188e-01	5.083e-01	6.877e-01
ENSMUSG00000052102	33255	2495	2.328e-01	-4.318e-01	3.392e+00	1.831e+00	6.601e+00	2.798e-04	3.217e-03
ENSMUSG00000021621	13623	912	1.698e-01	3.918e-01	3.854e+00	1.122e+00	1.698e+00	6.534e-02	2.004e-01
ENSMUSG00000047181	681	267	5.842e-02	4.061e+00	4.323e-01	-8.403e-01	1.964e-01	5.308e-01	6.963e-01
