GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	time_ceoff	time_ELBO_gain	time_pval	time_FDR
Qk	923	923	1.817e-01	1.385e+00	1.201e+00	1.764e-04	4.911e-01	3.217e-01	7.850e-01
Abhd11	502	502	1.357e-01	3.755e+00	4.750e-01	1.100e-03	-2.206e+00	1.000e+00	1.000e+00
Mbnl2	936	936	1.409e-01	1.988e-01	1.227e+00	5.186e-03	1.605e+00	7.322e-02	3.304e-01
Sema6a	1090	1090	1.898e-01	1.646e+00	1.316e+00	-5.659e-03	9.813e-01	1.612e-01	5.311e-01
Bag6	3160	3160	5.936e-01	4.002e+00	4.681e-01	-7.098e-03	2.018e+00	4.454e-02	2.601e-01
Pianp	932	932	2.355e-01	3.597e+00	4.758e-01	3.182e-03	-1.143e+00	1.000e+00	1.000e+00
Ranbp9	501	501	8.317e-02	7.443e-01	1.302e+00	-1.126e-02	4.374e+00	3.099e-03	5.067e-02
Pds5b	1162	1162	2.241e-01	1.148e+00	9.588e-01	6.152e-03	1.919e+00	5.009e-02	2.776e-01
Samd8	2081	2081	4.230e-01	3.180e+00	1.105e+00	7.863e-04	2.964e-01	4.413e-01	8.854e-01
Lcmt1	3182	3182	5.594e-01	3.152e+00	7.017e-01	-2.945e-03	8.092e-01	2.033e-01	5.884e-01
Arl3	3112	3112	5.375e-01	2.456e+00	7.991e-01	-2.351e-03	1.059e+00	1.455e-01	5.062e-01
Msantd4	639	639	1.585e-01	3.918e+00	4.677e-01	-8.828e-03	-2.410e-01	1.000e+00	1.000e+00
Gnb1	20473	20473	9.912e-01	4.445e+00	8.022e-01	1.599e-03	-2.449e-01	1.000e+00	1.000e+00
Cope	706	706	1.807e-01	3.306e+00	5.776e-01	1.912e-03	-3.456e-01	1.000e+00	1.000e+00
Tes	1772	1772	3.451e-01	3.983e+00	6.935e-01	-3.498e-03	3.554e-01	3.992e-01	8.287e-01
Prkaca	2756	2756	5.466e-01	3.546e+00	5.150e-01	2.211e-03	-1.283e+00	1.000e+00	1.000e+00
Vps25	1099	1099	2.681e-01	3.665e+00	5.601e-01	9.737e-04	-7.865e-01	1.000e+00	1.000e+00
Ncor1	2829	2829	4.097e-01	1.278e+00	9.633e-01	-6.843e-03	9.455e+00	1.371e-05	5.604e-04
Tex2	684	684	1.337e-01	1.244e+00	1.181e+00	-1.361e-03	-1.792e+00	1.000e+00	1.000e+00
Ociad1	4682	4682	7.332e-01	3.918e+00	6.213e-01	-3.164e-04	-3.278e-02	1.000e+00	1.000e+00
Mtfr1l	2166	2166	4.566e-01	3.766e+00	5.911e-01	2.605e-03	-6.579e-01	1.000e+00	1.000e+00
Ccdc171	679	679	8.806e-03	-3.048e+00	8.894e-01	-3.225e-03	3.838e-01	3.810e-01	8.277e-01
Acsl1	550	550	1.067e-01	1.930e+00	1.867e+00	-2.042e-03	3.906e-01	3.768e-01	8.277e-01
BC030336	578	578	1.350e-01	2.502e+00	8.702e-01	-1.228e-02	4.477e+00	2.767e-03	4.763e-02
Prkrip1	1597	1597	3.496e-01	2.986e+00	6.928e-01	-1.518e-03	-4.791e-02	1.000e+00	1.000e+00
2700049A03Rik	383	383	3.392e-02	-9.562e-01	1.946e+00	-9.652e-03	1.797e+00	5.798e-02	3.021e-01
Gm21092	1105	1105	1.011e-02	-3.442e+00	5.495e-01	2.472e-03	-1.720e-01	1.000e+00	1.000e+00
